Course code,Weighted Mean,Keywords
CE57003,60.22222222222222,Tech
MF40603,60.06222222222222,Core
BT29207,60.04555555555556,"Tech, Core, Environment"
ME21207,60.00333333333334,Core
MI48002,60.0,Core
IM48001,59.55555555555556,Core
ME47601,59.51444444444444,Core
EE58003,58.88888888888889,Core
AR48008,58.88888888888889,Tech
CS19101,58.73222222222222,Software
GG29207,58.66666666666666,Core
AR53201,58.66666666666666,"Tech, Core"
MA39110,58.633333333333326,"Tech, Core, Mathematics"
AE21203,58.54666666666667,"Tech, Core"
MA51002,58.47555555555555,Core
AG31002,58.26222222222223,"Tech, Core"
PH21209,58.22222222222222,Core
PH31201,58.22222222222222,Core/Mathematics
ME40701,58.21111111111112,Core
EE19001,58.17138888888889,Tech
IM60003,58.0,
AR48014,58.0,"Tech, Core, Software"
IM31012,57.99111111111112,Core
HS30002,57.864444444444445,"Core, Business, Entrepreneurship"
PH52002,57.77777777777778,"Core, Mathematics"
MA38002,57.62111111111111,Core
HS13001,57.41333333333333,Language
AG39004,57.12,Core
HS49009,56.95444444444444,Mathematics
AE57003,56.88888888888889,"Tech, Core, Software"
EE60039,56.88888888888889,
BM49002,56.85,"Tech, Core, Business, Mathematics, Optimization"
NA20201,56.71333333333334,Core
AR48012,56.66666666666667,Consult
GG39211,56.66666666666667,Core.
EP60005,56.53481481481481,
AR52003,56.44444444444445,"Core, Environment"
MA51121,56.44074074074075,Mathematics
ME40111,56.24777777777778,"Tech, Core"
CY29204,56.0,"Core, Chemistry, Laboratory"
CE13001,55.99944444444444,"Tech, Core, Software"
CY11001,55.8975,Core
GG30217,55.55555555555556,Core
AR48016,55.55555555555556,Environment
MA41017,55.52444444444444,Core
MT39009,55.24074074074074,Core
GG29209,55.11111111111112,"Core, Environment"
PH30207,55.11111111111112,Mathematics
CY60003,55.05444444444444,
PH11001,54.93972222222222,Core
MI60045,54.888888888888886,
AG31004,54.736666666666665,"Core, Environment"
CS10001,54.72805555555556,"Tech, Core, Software"
EC29001,54.681666666666665,Core
IE30006,54.58888888888889,"Tech, Core, Software"
AG39002,54.54666666666667,"Tech, Core"
AR48018,54.44444444444444,Core
HS38002,54.388888888888886,It is not possible to classify a seminar into a specific engineering course category as it can cover a wide range of topics and may not necessarily be related to engineering.
AE31006,54.28,"Tech, Software"
AE39001,54.227407407407405,Core
AE31002,54.09666666666666,Core
MA51003,54.0,Core
RD30011,53.777777777777786,"Core, Consult, Business, Entrepreneurship"
AG48003,53.76444444444444,"Tech, Software, Core."
PH58045,53.70555555555555,It is not possible to classify a seminar into a specific engineering course category as it can cover a wide range of topics and may not necessarily be related to engineering.
AG39006,53.61555555555556,Tech
EC69211,53.54444444444445,
AI60007,53.33333333333333,
EX48014,53.33333333333333,"Tech, Core"
BT20203,53.30777777777779,Core
CE31002,53.21,Core
MI40042,53.068888888888885,Tech
EX48016,52.888888888888886,Core
CS60002,52.888888888888886,
MT31009,52.71407407407408,Core
NA39006,52.69777777777778,Core
AE39003,52.64666666666667,Core
HS40007,52.53111111111111,Mathematics
EE57501,52.44444444444444,"Core, Software, Mathematics, Optimization"
EE11001,52.11472222222222,Tech
MA40011,52.07111111111112,Core
GG58006,52.0,Environment
CE48003,52.0,Core
CY57005,51.87407407407408,"Tech, Core, Software"
